"","CreditScore","FirstPmt","FirstTimeHomebuyer","Maturity Date","MSA Code","MI Percentage","Number of Units","Occupancy Status","CLTV","DTI","UPB","LTV","Interest Rate","Channel","PPM","Product","State","Property Type","Postal Code","Loan Sequence Number","Loan Purpose","Original Term","Borrower Num","Seller Name","Servicer Name","Super Conforming","NPV"
"811","740","199903","2","202902",NA,"0","1","2","80","41","153000","80","6.625","4","2","1","29","6","28100","811","1","360","2","299","10",NA,"12710.487545053"
"812","791","199903","2","202902","13740","0","1","2","80","22","109000","80","6.5","3","2","1","28","6","59100","812","3","360","2","299","10",NA,"15169.6064019326"
"813","715","199903","2","202902",NA,"0","1","2","37","21","100000","37","6.875","3","2","1","39","6","97500","813","1","360","2","299","10",NA,"10061.0050163364"
"814","773","199903","2","202902",NA,"0","1","3","71","14","120000","71","6.875","3","2","1","15","6","83300","814","2","360","2","299","10",NA,"18896.4781761996"
"815","732","199903","2","202902","36084","0","1","2","57","26","130000","57","6.875","3","2","1","5","6","94700","815","1","360","2","299","10",NA,"19114.7060332574"
"816","732","199903","2","202902","19804","0","1","2","47","39","174000","47","7","4","2","1","24","1","48100","816","2","360","1","299","10",NA,"20956.4328366143"
"817","709","199903","2","202902","44700","0","1","2","75","28","212000","75","7","4","2","1","5","6","95300","817","2","360","2","299","10",NA,"17446.4508080127"
"818","645","199903","2","202902","24340","0","1","2","75","43","84000","75","7.25","4","2","1","24","6","49300","818","2","360","1","299","10",NA,"6196.80014711953"
"819","758","199903","2","202902","40140","0","1","2","75","31","103000","75","6.75","3","3","1","5","6","92500","819","2","360","2","299","10",NA,"3586.37437185674"
"820","707","199903","2","202902",NA,"0","1","2","75","37","158000","75","6.875","4","3","1","5","6","95300","820","2","360","2","299","10",NA,"15399.767795709"
"821","701","199903","2","202902","41740","0","1","2","80","25","199000","80","6.75","3","3","1","5","5","92100","821","3","360","1","299","10",NA,"35276.7456652733"
"822","778","199903","2","202902",NA,"0","1","2","65","23","100000","65","7","4","2","1","53","6","82400","822","3","360","2","299","10",NA,"8264.72360876892"
"823","708","199903","3","202902","26420","30","1","2","95","23","98000","95","6.875","4","2","1","46","5","77400","823","3","360","2","299","10",NA,"5720.41299741397"
"824","705","199903","2","202902",NA,"0","1","2","79","29","121000","79","6.875","4","2","1","37","6","44800","824","1","360","2","299","10",NA,"17111.1950523487"
